Year,Month,CPIH,Core,CPIH-Normalised,Core-Normalised,CPIH-LogNormed,Core-LogNormed,CPIH-Diff,Core-Diff
2019,5,1.9,1.7,-0.08566583722757605,-0.32671647701488105,,,-0.05530326200767561,0.0
2019,6,1.9,1.7,-0.08566583722757605,-0.32671647701488105,,,0.0,0.0
2019,7,2.0,1.9,-0.03036257521990044,-0.1318329644095134,,,0.05530326200767561,0.19488351260536765
2019,8,1.7,1.5,-0.19627236124292713,-0.5215999896202487,,,-0.1659097860230267,-0.38976702521073525
2019,9,1.7,1.6,-0.19627236124292713,-0.42415823331756475,,,0.0,0.09744175630268392
2019,10,1.5,1.7,-0.3068788852582782,-0.32671647701488105,,,-0.1106065240153511,0.0974417563026837
2019,11,1.5,1.7,-0.3068788852582782,-0.32671647701488105,,,0.0,0.0
2019,12,1.4,1.4,-0.3621821472659538,-0.6190417459229326,,,-0.0553032620076756,-0.29232526890805155
2020,1,1.8,1.6,-0.14096909923525153,-0.42415823331756475,,,0.2212130480307023,0.19488351260536785
2020,2,1.7,1.7,-0.19627236124292713,-0.32671647701488105,,,-0.0553032620076756,0.0974417563026837
2020,3,1.5,1.6,-0.3068788852582782,-0.42415823331756475,,,-0.1106065240153511,-0.0974417563026837
2020,4,0.9,1.5,-0.6386984573043316,-0.5215999896202487,,,-0.3318195720460534,-0.09744175630268392
2020,5,0.7,1.3,-0.7493049813196827,-0.7164835022256163,,,-0.1106065240153511,-0.19488351260536763
2020,6,0.8,1.5,-0.694001719312007,-0.5215999896202487,,,0.05530326200767566,0.19488351260536763
2020,7,1.1,1.8,-0.5280919332889804,-0.2292747207121971,,,0.16590978602302664,0.29232526890805155
2020,8,0.5,1.0,-0.8599115053350338,-1.008808771133668,,,-0.3318195720460534,-0.7795340504214708
2020,9,0.7,1.4,-0.7493049813196827,-0.6190417459229326,,,0.1106065240153511,0.38976702521073536
2020,10,0.9,1.5,-0.6386984573043316,-0.5215999896202487,,,0.1106065240153511,0.09744175630268392
2020,11,0.6,1.2,-0.8046082433273581,-0.8139252585283002,,,-0.16590978602302653,-0.29232526890805155
2020,12,0.8,1.5,-0.694001719312007,-0.5215999896202487,,,0.1106065240153511,0.29232526890805155
2021,1,0.9,1.5,-0.6386984573043316,-0.5215999896202487,,,0.055303262007675436,0.0
2021,2,0.7,1.1,-0.7493049813196827,-0.9113670148309839,,,-0.1106065240153511,-0.38976702521073525
2021,3,1.0,1.3,-0.583395195296656,-0.7164835022256163,,,0.16590978602302675,0.19488351260536763
2021,4,1.6,1.5,-0.2515756232506026,-0.5215999896202487,,,0.33181957204605333,0.19488351260536763
2021,5,2.1,2.0,0.02494068678777516,-0.03439120810682947,-3.69125480150815,,0.2765163100383778,0.4872087815134192
2021,6,2.4,2.3,0.19085047281080172,0.2579340608012219,-1.6562650223991453,-1.3550513050160542,0.16590978602302656,0.29232526890805133
2021,7,2.1,1.9,0.02494068678777516,-0.1318329644095134,-3.69125480150815,,-0.16590978602302656,-0.38976702521073525
2021,8,3.0,2.9,0.5226700448568551,0.842584598617325,-0.6488049033866962,-0.1712812080076375,0.4977293580690799,0.9744175630268385
2021,9,2.9,2.7,0.4673667828491795,0.6477010860119576,-0.7606409273335487,-0.4343259760740328,-0.0553032620076756,-0.1948835126053674
2021,10,3.8,3.1,0.9650961409182595,1.037468111222693,-0.035527554711110826,0.036783236479452114,0.49772935806908,0.38976702521073525
2021,11,4.6,3.6,1.4075222369796638,1.524676892736112,0.341830879826739,0.42178251399532535,0.4424260960614044,0.4872087815134192
2021,12,4.8,3.8,1.518128760995015,1.7195604053414795,0.41747849816605365,0.5420686798698272,0.1106065240153511,0.1948835126053674
2022,1,4.9,4.0,1.5734320230026908,1.9144439179468473,0.45325923544689173,0.6494271981903266,0.05530326200767588,0.19488351260536785
2022,2,5.5,4.6,1.9052515950487439,2.49909445576295,0.6446140707498009,0.9159284485626603,0.33181957204605306,0.5846505378161027
2022,3,6.2,5.1,2.292374429102473,2.986303237276369,0.8295881489928867,1.0940362469669929,0.38712283405372894,0.4872087815134192
2022,4,7.8,5.4,3.1772266212252815,3.2786285061844214,1.1560086845738167,1.1874251965934242,0.8848521921228087,0.2923252689080522
2022,5,7.9,5.2,3.232529883232958,3.0837449935790535,1.1732650762407755,1.1261447653754106,0.055303262007676324,-0.19488351260536785
2022,6,8.2,5.2,3.3984396692559837,3.0837449935790535,1.2233164054786698,1.1261447653754106,0.16590978602302586,0.0
2022,7,8.8,5.5,3.7302592413020377,3.376070262487105,1.316477732930148,1.216712388865213,0.33181957204605395,0.29232526890805133
2022,8,8.6,5.6,3.6196527172866864,3.4735120187897883,1.2863780867844843,1.2451661912829406,-0.11060652401535132,0.09744175630268348
