Year,Month,Productivity,Quarter,Productivity-Normalised,Productivity-LogNormed,Diffs
2018,7,99.5,3,0.22772474617305286,-2.1346370215010864,-0.14598951570014887
2018,8,99.5,3,0.22772474617305286,-2.1346370215010864,0.0
2018,9,99.5,3,0.22772474617305286,-2.1346370215010864,0.0
2018,10,99.9,4,0.42237743377325593,-1.2433953365477295,0.19465268760020307
2018,11,99.9,4,0.42237743377325593,-1.2433953365477295,0.0
2018,12,99.9,4,0.42237743377325593,-1.2433953365477295,0.0
2019,1,99.5,1,0.22772474617305286,-2.1346370215010864,-0.19465268760020307
2019,2,99.5,1,0.22772474617305286,-2.1346370215010864,0.0
2019,3,99.5,1,0.22772474617305286,-2.1346370215010864,0.0
2019,4,99.6,2,0.27638791807310015,-1.855233543260299,0.04866317190004729
2019,5,99.6,2,0.27638791807310015,-1.855233543260299,0.0
2019,6,99.6,2,0.27638791807310015,-1.855233543260299,0.0
2019,7,100.4,3,0.6656932932735063,-0.5870704614214178,0.3893053752004062
2019,8,100.4,3,0.6656932932735063,-0.5870704614214178,0.0
2019,9,100.4,3,0.6656932932735063,-0.5870704614214178,0.0
2019,10,100.6,4,0.763019637073601,-0.3902079081497792,0.09732634380009464
2019,11,100.6,4,0.763019637073601,-0.3902079081497792,0.0
2019,12,100.6,4,0.763019637073601,-0.3902079081497792,0.0
2020,1,99.8,1,0.3737142618732017,-1.419992473258269,-0.38930537520039926
2020,2,99.8,1,0.3737142618732017,-1.419992473258269,0.0
2020,3,99.8,1,0.3737142618732017,-1.419992473258269,0.0
2020,4,96.1,2,-1.4268230984286525,,-1.8005373603018542
2020,5,96.1,2,-1.4268230984286525,,0.0
2020,6,96.1,2,-1.4268230984286525,,0.0
2020,7,103.9,3,2.368904309775259,1.2442199231028757,3.7957274082039114
2020,8,103.9,3,2.368904309775259,1.2442199231028757,0.0
2020,9,103.9,3,2.368904309775259,1.2442199231028757,0.0
2020,10,99.7,4,0.3250510899731544,-1.6212616030289495,-2.0438532198021044
2020,11,99.7,4,0.3250510899731544,-1.6212616030289495,0.0
2020,12,99.7,4,0.3250510899731544,-1.6212616030289495,0.0
2021,1,100.3,1,0.6170301213734521,-0.6965871761846323,0.29197903140029774
2021,2,100.3,1,0.6170301213734521,-0.6965871761846323,0.0
2021,3,100.3,1,0.6170301213734521,-0.6965871761846323,0.0
2021,4,101.5,2,1.2009881841740544,0.2642219572738956,0.5839580628006023
2021,5,101.5,2,1.2009881841740544,0.2642219572738956,0.0
2021,6,101.5,2,1.2009881841740544,0.2642219572738956,0.0
2021,7,100.6,3,0.763019637073601,-0.3902079081497792,-0.4379685471004534
2021,8,100.6,3,0.763019637073601,-0.3902079081497792,0.0
2021,9,100.6,3,0.763019637073601,-0.3902079081497792,0.0
2021,10,102.1,4,1.492967215574352,0.5781824853333986,0.7299475785007511
2021,11,102.1,4,1.492967215574352,0.5781824853333986,0.0
2021,12,102.1,4,1.492967215574352,0.5781824853333986,0.0
2022,1,101.4,1,1.1523250122740072,0.20454768506512433,-0.3406422033003449
2022,2,101.4,1,1.1523250122740072,0.20454768506512433,0.0
2022,3,101.4,1,1.1523250122740072,0.20454768506512433,0.0
2022,4,101.5,2,1.2009881841740544,0.2642219572738956,0.04866317190004721
2022,5,101.5,2,1.2009881841740544,0.2642219572738956,0.0
2022,6,101.5,2,1.2009881841740544,0.2642219572738956,0.0
2022,7,101.6,3,1.2496513560741018,0.32152564927032157,0.04866317190004743
2022,8,101.6,3,1.2496513560741018,0.32152564927032157,0.0
2022,9,101.6,3,1.2496513560741018,0.32152564927032157,0.0
