Year,Month,Core,Month_sin,Month_cos
2019,10,1.7,-0.866025403784439,0.49999999999999933
2019,11,1.7,-0.5000000000000004,0.8660254037844384
2019,12,1.4,-2.4492935982947064e-16,1.0
2020,1,1.6,0.49999999999999994,0.8660254037844387
2020,2,1.7,0.8660254037844386,0.5000000000000001
2020,3,1.6,1.0,6.123233995736766e-17
2020,4,1.5,0.8660254037844387,-0.49999999999999983
2020,5,1.3,0.5000000000000003,-0.8660254037844385
2020,6,1.5,1.2246467991473532e-16,-1.0
2020,7,1.8,-0.4999999999999998,-0.8660254037844388
2020,8,1.0,-0.8660254037844384,-0.5000000000000004
2020,9,1.4,-1.0,-1.8369701987210297e-16
2020,10,1.5,-0.866025403784439,0.49999999999999933
2020,11,1.2,-0.5000000000000004,0.8660254037844384
2020,12,1.5,-2.4492935982947064e-16,1.0
2021,1,1.5,0.49999999999999994,0.8660254037844387
2021,2,1.1,0.8660254037844386,0.5000000000000001
2021,3,1.3,1.0,6.123233995736766e-17
2021,4,1.5,0.8660254037844387,-0.49999999999999983
2021,5,2.0,0.5000000000000003,-0.8660254037844385
2021,6,2.3,1.2246467991473532e-16,-1.0
2021,7,1.9,-0.4999999999999998,-0.8660254037844388
2021,8,2.9,-0.8660254037844384,-0.5000000000000004
2021,9,2.7,-1.0,-1.8369701987210297e-16
2021,10,3.1,-0.866025403784439,0.49999999999999933
2021,11,3.6,-0.5000000000000004,0.8660254037844384
2021,12,3.8,-2.4492935982947064e-16,1.0
2022,1,4.0,0.49999999999999994,0.8660254037844387
2022,2,4.6,0.8660254037844386,0.5000000000000001
2022,3,5.1,1.0,6.123233995736766e-17
2022,4,5.4,0.8660254037844387,-0.49999999999999983
2022,5,5.2,0.5000000000000003,-0.8660254037844385
2022,6,5.2,1.2246467991473532e-16,-1.0
2022,7,5.5,-0.4999999999999998,-0.8660254037844388
2022,8,5.6,-0.8660254037844384,-0.5000000000000004
2022,9,5.438446809650818,-1.0,-1.8369701987210297e-16
2022,10,4.331175590205148,-0.866025403784439,0.49999999999999933
2022,11,4.379568552561876,-0.5000000000000004,0.8660254037844384
2022,12,4.896103508532894,-2.4492935982947064e-16,1.0
2023,1,4.628138757181105,0.49999999999999994,0.8660254037844387
2023,2,5.945298555864232,0.8660254037844386,0.5000000000000001
2023,3,5.248396219971796,1.0,6.123233995736766e-17
