year,month,GDP,Temperature,Unemployment Rate,Normalised GDP,Normalised Temperature,Normalised Unemployment Rate,Unnamed: 8,GDP_sin,GDP_cos,Temperature_sin,Temperature_cos,Unemployment_Rate_sin,Unemployment_Rate_cos
2021,jan,489238,2.2,5.1,-1.276717873,-1.709721842,0.747944394,,0.924243522,-0.3818035,0.38040317,0.924820755,0.993043664,-0.117746686
2021,feb,495008,4.1,4.9,-1.183802642,-1.262251358,0.476643432,,0.760840739,-0.648938649,0.935280064,-0.353908466,0.880176693,0.474646173
2021,mar,502215,6.4,4.9,-1.067747172,-0.720576563,0.476643432,,0.454539523,-0.89072657,-0.611502651,-0.791242382,0.880176693,0.474646173
2021,apr,509422,5.7,4.9,-0.951691702,-0.885434109,0.476643432,,0.079020196,-0.996873015,-0.089618117,-0.995976201,0.880176693,0.474646173
2021,may,525293,9.1,4.7,-0.696118458,-0.084697455,0.205342471,,-0.707392991,-0.706820455,-0.287800561,0.957690366,0.447217405,0.894425286
2021,jun,537105,14.2,4.6,-0.505907938,1.116407526,0.06969199,,-0.990035609,-0.140817232,-0.649072803,-0.760726295,0.156712,0.987644343
2021,jul,542796,16.6,4.4,-0.414264858,1.6816334,-0.201608971,,-0.985778711,0.168048605,-0.468017017,0.883719453,-0.439661567,0.898163519
2021,aug,547526,15,4.3,-0.338096913,1.304816151,-0.337259452,,-0.91037133,0.413792269,-0.976968434,-0.213383875,-0.690017382,0.723792797
2021,sep,553431,14.7,4.2,-0.243007757,1.234162917,-0.472909933,,-0.732768676,0.680477823,-0.896690821,-0.442657397,-0.876144183,0.482049138
2021,oct,558749,10.9,4.1,-0.157371155,0.33922195,-0.608560413,,-0.507750977,0.861503886,0.920440986,0.390881556,-0.980716694,0.195434813
2021,nov,563661,7,4,-0.078272435,-0.579270094,-0.744210894,,-0.261801129,0.965121842,-0.910711689,-0.413042636,-0.994000975,-0.109371208
2021,dec,568573,5.3,4,0.000826284,-0.979638422,-0.744210894,,0.00279629,0.99999609,0.232802639,-0.972524,-0.994000975,-0.109371208
2022,jan,573485,4.7,3.8,0.079925003,-1.12094489,-1.015511856,,0.267194534,0.963642611,0.660890002,-0.750482781,-0.750371172,-0.66101672
2022,feb,575935,5.6,3.7,0.119377744,-0.908985187,-1.151162336,,0.393095494,0.919497653,-0.008564152,-0.999963327,-0.516134927,-0.85650729
2022,mar,578385,6.7,3.8,0.158830485,-0.649923329,-1.015511856,,0.511999421,0.858985793,-0.784246699,-0.620449124,-0.750371172,-0.66101672
2022,apr,580835,8.1,3.8,0.198283226,-0.320208236,-1.015511856,,0.621789846,0.783184134,-0.892866951,0.45032056,-0.750371172,-0.66101672
2022,may,586091,11.8,3.8,0.282921432,0.551181653,-1.015511856,,0.817730369,0.575601463,0.946372649,-0.323077096,-0.750371172,-0.66101672
2022,jun,589453,13.9,3.6,0.337060254,1.045754292,-1.286812817,,0.908914048,0.416983517,-0.446493074,-0.894787089,-0.233855198,-0.972271436
2022,jul,591129,16.5,3.5,0.364049149,1.658082322,-1.422463298,,0.943157911,0.332344934,-0.538132435,0.842860298,0.070192516,-0.997533463
2022,aug,592804,16.6,3.6,0.391021941,1.6816334,-1.286812817,,0.969525947,0.244988649,-0.468017017,0.883719453,-0.233855198,-0.972271436
2022,sep,594479,13.4,3.7,0.417994733,0.927998902,-1.151162336,,0.987821328,0.155592492,-0.056940111,-0.998377596,-0.516134927,-0.85650729
2022,oct,597067,11.6,3.7,0.45966971,0.504079497,-1.151162336,,0.999884609,0.015191045,0.986149207,-0.165860607,-0.516134927,-0.85650729
2022,nov,598807,8.2,3.7,0.487689208,-0.296657158,-1.151162336,,0.996831097,-0.079547243,-0.853412595,0.521235976,-0.516134927,-0.85650729
2022,dec,600548,2.9,3.7,0.515724808,-1.544864295,-1.151162336,,0.98481193,-0.173624489,0.818302776,0.57478741,-0.516134927,-0.85650729
2023,jan,602288,4.4,3.8,0.543744306,-1.191598124,-1.015511856,,0.963948891,-0.266087458,0.822348781,-0.568983728,-0.750371172,-0.66101672
2023,feb,603273,5.8,3.8,0.559605918,-0.861883031,-1.015511856,,0.948284143,-0.317422722,-0.17008189,-0.985429932,-0.750371172,-0.66101672
2023,mar,604259,5.7,3.7,0.575483633,-0.885434109,-1.151162336,,0.929867631,-0.367894262,-0.089618117,-0.995976201,-0.516134927,-0.85650729
