Year,Month,Productivity,Difference,Month_sin,Month_cos
2020,2,99.8,0.0,0.8660254037844386,0.5000000000000001
2020,3,99.8,0.0,1.0,6.123233995736766e-17
2020,4,96.1,-3.700000000000003,0.8660254037844387,-0.49999999999999983
2020,5,96.1,0.0,0.5000000000000003,-0.8660254037844385
2020,6,96.1,0.0,1.2246467991473532e-16,-1.0
2020,7,103.9,7.800000000000011,-0.4999999999999998,-0.8660254037844388
2020,8,103.9,0.0,-0.8660254037844384,-0.5000000000000004
2020,9,103.9,0.0,-1.0,-1.8369701987210297e-16
2020,10,99.7,-4.200000000000003,-0.866025403784439,0.49999999999999933
2020,11,99.7,0.0,-0.5000000000000004,0.8660254037844384
2020,12,99.7,0.0,-2.4492935982947064e-16,1.0
2021,1,100.3,0.5999999999999943,0.49999999999999994,0.8660254037844387
