,Date,Month,Year,Unemployment,Unemployment_Norm,Unemployment_Norm_Diff,Unemployment_Norm_Diff_lag_1,Unemployment_Norm_Diff_lag_2,Unemployment_Norm_Diff_lag_3,Unemployment_Norm_Diff_lag_4,Unemployment_Norm_Diff_lag_5,Unemployment_Norm_Diff_lag_6,Unemployment_Norm_Diff_lag_7,Unemployment_Norm_Diff_lag_8,Unemployment_Norm_Diff_lag_9,Unemployment_Norm_Diff_lag_10,Unemployment_Norm_Diff_lag_11,Unemployment_Norm_Diff_lag_12
41,2017-08-01,8,2017,4.3,-1.0213403485657768,0.0,0.0,-0.041922435132265345,0.0,-0.0419224351322649,-0.04192243513226501,0.0,-0.041922435132265234,0.0,-0.04192243513226501,0.0,0.0,-0.08384487026453025
42,2017-09-01,9,2017,4.2,-1.0632627836980417,-0.0419224351322649,0.0,0.0,-0.041922435132265345,0.0,-0.0419224351322649,-0.04192243513226501,0.0,-0.041922435132265234,0.0,-0.04192243513226501,0.0,0.0
43,2017-10-01,10,2017,4.3,-1.0213403485657768,0.0419224351322649,-0.0419224351322649,0.0,0.0,-0.041922435132265345,0.0,-0.0419224351322649,-0.04192243513226501,0.0,-0.041922435132265234,0.0,-0.04192243513226501,0.0
44,2017-11-01,11,2017,4.4,-0.9794179134335115,0.041922435132265345,0.0419224351322649,-0.0419224351322649,0.0,0.0,-0.041922435132265345,0.0,-0.0419224351322649,-0.04192243513226501,0.0,-0.041922435132265234,0.0,-0.04192243513226501
45,2017-12-01,12,2017,4.3,-1.0213403485657768,-0.041922435132265345,0.041922435132265345,0.0419224351322649,-0.0419224351322649,0.0,0.0,-0.041922435132265345,0.0,-0.0419224351322649,-0.04192243513226501,0.0,-0.041922435132265234,0.0
46,2018-01-01,1,2018,4.2,-1.0632627836980417,-0.0419224351322649,-0.041922435132265345,0.041922435132265345,0.0419224351322649,-0.0419224351322649,0.0,0.0,-0.041922435132265345,0.0,-0.0419224351322649,-0.04192243513226501,0.0,-0.041922435132265234
47,2018-02-01,2,2018,4.2,-1.0632627836980417,0.0,-0.0419224351322649,-0.041922435132265345,0.041922435132265345,0.0419224351322649,-0.0419224351322649,0.0,0.0,-0.041922435132265345,0.0,-0.0419224351322649,-0.04192243513226501,0.0
48,2018-03-01,3,2018,4.2,-1.0632627836980417,0.0,0.0,-0.0419224351322649,-0.041922435132265345,0.041922435132265345,0.0419224351322649,-0.0419224351322649,0.0,0.0,-0.041922435132265345,0.0,-0.0419224351322649,-0.04192243513226501
49,2018-04-01,4,2018,4.2,-1.0632627836980417,0.0,0.0,0.0,-0.0419224351322649,-0.041922435132265345,0.041922435132265345,0.0419224351322649,-0.0419224351322649,0.0,0.0,-0.041922435132265345,0.0,-0.0419224351322649
50,2018-05-01,5,2018,4.0,-1.147107653962572,-0.08384487026453025,0.0,0.0,0.0,-0.0419224351322649,-0.041922435132265345,0.041922435132265345,0.0419224351322649,-0.0419224351322649,0.0,0.0,-0.041922435132265345,0.0
51,2018-06-01,6,2018,4.0,-1.147107653962572,0.0,-0.08384487026453025,0.0,0.0,0.0,-0.0419224351322649,-0.041922435132265345,0.041922435132265345,0.0419224351322649,-0.0419224351322649,0.0,0.0,-0.041922435132265345
52,2018-07-01,7,2018,4.0,-1.147107653962572,0.0,0.0,-0.08384487026453025,0.0,0.0,0.0,-0.0419224351322649,-0.041922435132265345,0.041922435132265345,0.0419224351322649,-0.0419224351322649,0.0,0.0
53,2018-08-01,8,2018,4.1,-1.105185218830307,0.0419224351322649,0.0,0.0,-0.08384487026453025,0.0,0.0,0.0,-0.0419224351322649,-0.041922435132265345,0.041922435132265345,0.0419224351322649,-0.0419224351322649,0.0
54,2018-09-01,9,2018,4.1,-1.105185218830307,0.0,0.0419224351322649,0.0,0.0,-0.08384487026453025,0.0,0.0,0.0,-0.0419224351322649,-0.041922435132265345,0.041922435132265345,0.0419224351322649,-0.0419224351322649
55,2018-10-01,10,2018,4.0,-1.147107653962572,-0.0419224351322649,0.0,0.0419224351322649,0.0,0.0,-0.08384487026453025,0.0,0.0,0.0,-0.0419224351322649,-0.041922435132265345,0.041922435132265345,0.0419224351322649
56,2018-11-01,11,2018,4.0,-1.147107653962572,0.0,-0.0419224351322649,0.0,0.0419224351322649,0.0,0.0,-0.08384487026453025,0.0,0.0,0.0,-0.0419224351322649,-0.041922435132265345,0.041922435132265345
57,2018-12-01,12,2018,3.9,-1.189030089094837,-0.04192243513226512,0.0,-0.0419224351322649,0.0,0.0419224351322649,0.0,0.0,-0.08384487026453025,0.0,0.0,0.0,-0.0419224351322649,-0.041922435132265345
58,2019-01-01,1,2019,3.9,-1.189030089094837,0.0,-0.04192243513226512,0.0,-0.0419224351322649,0.0,0.0419224351322649,0.0,0.0,-0.08384487026453025,0.0,0.0,0.0,-0.0419224351322649
